epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.335,1.49272,2.5833,1.41468,0.604,0.45632,0.49385,0.28731,1.54739,2.81684,1.45641,0.000369396,0.000369396,0.000369396
2,290.198,1.59835,2.10914,1.51972,0.46498,0.39303,0.39234,0.21254,1.68303,2.35258,1.55748,0.000727524,0.000727524,0.000727524
3,432.718,1.64177,2.02779,1.56865,0.55515,0.45386,0.48063,0.25917,1.64112,1.90046,1.57713,0.00107343,0.00107343,0.00107343
4,575.084,1.65067,1.99696,1.58154,0.5348,0.42818,0.43259,0.23284,1.64456,1.99346,1.55461,0.00105601,0.00105601,0.00105601
5,714.844,1.61981,1.87242,1.55342,0.61683,0.45258,0.5162,0.29427,1.5527,1.76954,1.51034,0.00103767,0.00103767,0.00103767
6,853.443,1.58123,1.78923,1.52695,0.64431,0.48947,0.55667,0.33207,1.55128,1.75129,1.50823,0.00101934,0.00101934,0.00101934
7,992.653,1.56662,1.74219,1.50366,0.72443,0.5167,0.60115,0.35609,1.52158,1.53418,1.44777,0.00100101,0.00100101,0.00100101
8,1132.66,1.54307,1.67528,1.48618,0.63997,0.51703,0.57692,0.34375,1.54589,1.61218,1.49851,0.000982679,0.000982679,0.000982679
9,1272.21,1.51334,1.60293,1.48097,0.71446,0.54901,0.61745,0.37294,1.48638,1.55182,1.44165,0.000964348,0.000964348,0.000964348
10,1415.73,1.49601,1.59042,1.47035,0.67463,0.56733,0.62596,0.3862,1.47419,1.50015,1.41013,0.000946016,0.000946016,0.000946016
11,1557.64,1.49582,1.55544,1.45888,0.70566,0.58389,0.66754,0.40626,1.47081,1.45121,1.41931,0.000927685,0.000927685,0.000927685
12,1697.44,1.47163,1.51469,1.4419,0.75827,0.58079,0.66417,0.40758,1.46243,1.35887,1.41122,0.000909353,0.000909353,0.000909353
13,1839.26,1.45012,1.48305,1.4298,0.74685,0.57673,0.66283,0.40496,1.47994,1.38215,1.42777,0.000891022,0.000891022,0.000891022
14,1978.7,1.44552,1.46692,1.42972,0.762,0.57592,0.67895,0.42055,1.46162,1.33549,1.41452,0.000872691,0.000872691,0.000872691
15,2117.89,1.42869,1.442,1.41035,0.75804,0.60262,0.69208,0.43409,1.43899,1.37073,1.37421,0.000854359,0.000854359,0.000854359
16,2257.68,1.41151,1.41476,1.4048,0.75564,0.60879,0.68655,0.43598,1.43767,1.3187,1.40898,0.000836027,0.000836027,0.000836027
