epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3886,1.71341,2.71196,1.58078,0.86138,0.07533,0.23327,0.10603,1.61031,3.12498,1.54372,0.000644444,0.000644444,0.000644444
2,20.3442,1.57506,2.01326,1.4617,0.43638,0.15455,0.16307,0.07123,2.0791,2.99839,1.86366,0.00129813,0.00129813,0.00129813
3,30.0506,1.62005,2.00657,1.45953,0.32949,0.36364,0.26468,0.1015,1.90941,2.56072,2.00662,0.00193862,0.00193862,0.00193862
4,39.7744,1.60605,1.82439,1.46594,0.26623,0.22121,0.1683,0.07649,1.91844,5.31215,2.139,0.0019406,0.0019406,0.0019406
5,47.2094,1.56132,1.73354,1.42886,0.2983,0.25455,0.21275,0.09873,1.87155,2.77362,1.82981,0.0019208,0.0019208,0.0019208
6,57.0483,1.53073,1.65128,1.41573,0.54658,0.50606,0.49503,0.25677,1.6528,2.03969,1.64761,0.001901,0.001901,0.001901
7,65.996,1.52235,1.55583,1.42014,0.6859,0.50303,0.59581,0.30012,1.69693,1.86102,1.62228,0.0018812,0.0018812,0.0018812
8,75.993,1.51844,1.61364,1.42098,0.5767,0.50368,0.53126,0.28149,1.60872,1.95004,1.58578,0.0018614,0.0018614,0.0018614
9,86.6386,1.47588,1.47255,1.40982,0.57202,0.43939,0.49895,0.26064,1.63609,1.87776,1.58752,0.0018416,0.0018416,0.0018416
10,94.3419,1.53069,1.47798,1.40165,0.69266,0.54635,0.61779,0.3246,1.58693,1.59332,1.5205,0.0018218,0.0018218,0.0018218
11,103.977,1.44977,1.38804,1.34738,0.59915,0.56364,0.56426,0.30629,1.55485,1.5944,1.47445,0.001802,0.001802,0.001802
12,114.872,1.44998,1.35531,1.33818,0.69382,0.57879,0.64665,0.36542,1.54983,1.47452,1.49053,0.0017822,0.0017822,0.0017822
13,122.997,1.42786,1.31705,1.34012,0.69433,0.56444,0.63208,0.35419,1.52912,1.49335,1.46431,0.0017624,0.0017624,0.0017624
14,133.438,1.37596,1.40835,1.34833,0.64675,0.59091,0.60446,0.34519,1.54071,1.64725,1.49075,0.0017426,0.0017426,0.0017426
15,142.933,1.3945,1.28581,1.33317,0.66932,0.65758,0.66116,0.36647,1.50284,1.40641,1.45224,0.0017228,0.0017228,0.0017228
16,152.068,1.41273,1.2478,1.31818,0.69986,0.61818,0.67535,0.38033,1.518,1.49232,1.43148,0.001703,0.001703,0.001703
17,163.316,1.41133,1.31073,1.35758,0.64113,0.59394,0.62259,0.34688,1.53535,1.9589,1.46937,0.0016832,0.0016832,0.0016832
18,171.728,1.35972,1.25379,1.30003,0.75508,0.55152,0.65939,0.37001,1.48071,1.42662,1.47753,0.0016634,0.0016634,0.0016634
19,181.041,1.33188,1.24254,1.2963,0.66405,0.6,0.64809,0.37255,1.51632,1.41319,1.48218,0.0016436,0.0016436,0.0016436
20,191.316,1.38682,1.30228,1.37182,0.72568,0.59091,0.6788,0.3816,1.53536,1.32662,1.4681,0.0016238,0.0016238,0.0016238
21,199.36,1.33349,1.16975,1.2833,0.68459,0.61515,0.66378,0.38393,1.48251,1.45786,1.44518,0.001604,0.001604,0.001604
22,209.518,1.33975,1.18683,1.31636,0.74083,0.64545,0.7089,0.40713,1.45723,1.28039,1.41718,0.0015842,0.0015842,0.0015842
23,217.789,1.359,1.13722,1.3092,0.73024,0.62727,0.69351,0.40675,1.44681,1.36691,1.37256,0.0015644,0.0015644,0.0015644
24,226.198,1.30612,1.13889,1.2733,0.68784,0.62424,0.67281,0.39238,1.50993,1.36381,1.43208,0.0015446,0.0015446,0.0015446
25,236.07,1.27539,1.07362,1.26017,0.76162,0.60026,0.67722,0.38608,1.50807,1.37832,1.45138,0.0015248,0.0015248,0.0015248
26,243.759,1.32088,1.12198,1.29389,0.73342,0.64545,0.70598,0.39093,1.53034,1.33802,1.46808,0.001505,0.001505,0.001505
27,253.483,1.27168,1.1001,1.26408,0.76577,0.57462,0.69814,0.40607,1.48234,1.29863,1.40183,0.0014852,0.0014852,0.0014852
28,260.964,1.27798,1.0714,1.24011,0.69916,0.65152,0.70743,0.41359,1.46108,1.23378,1.41386,0.0014654,0.0014654,0.0014654
29,270.264,1.2597,1.05869,1.2509,0.74874,0.61405,0.71888,0.42071,1.48511,1.31736,1.4521,0.0014456,0.0014456,0.0014456
30,278.681,1.21982,1.03597,1.22904,0.74602,0.60526,0.68731,0.40113,1.47685,1.27609,1.42825,0.0014258,0.0014258,0.0014258
31,286.873,1.26865,1.05596,1.23606,0.75494,0.63636,0.68345,0.39963,1.50265,1.25399,1.4435,0.001406,0.001406,0.001406
32,295.603,1.24576,1.06258,1.23428,0.68177,0.58429,0.67378,0.40864,1.43394,1.31224,1.43893,0.0013862,0.0013862,0.0013862
