epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.56,1.01978,5.22718,1.42459,0.52616,0.07927,0.0212,0.01362,1.17047,6.58119,1.44353,4.4864e-05,4.4864e-05,4.4864e-05
2,228.772,0.9712,4.57703,1.40103,0.54098,0.09765,0.07356,0.0515,1.12615,5.66701,1.38685,8.89744e-05,8.89744e-05,8.89744e-05
3,336.694,0.97263,4.08405,1.38404,0.50235,0.11016,0.08245,0.05795,1.12871,5.18528,1.39757,0.000132194,0.000132194,0.000132194
4,443.774,0.96458,3.73535,1.36344,0.49336,0.15412,0.15277,0.10726,1.11831,4.59221,1.36649,0.00013099,0.00013099,0.00013099
5,549.892,0.91234,3.39108,1.32553,0.50926,0.1762,0.16767,0.11195,1.10021,4.17199,1.33307,0.000129654,0.000129654,0.000129654
6,657.519,0.90386,3.19975,1.31726,0.48709,0.22078,0.19742,0.1407,1.0857,3.93595,1.33202,0.000128318,0.000128318,0.000128318
7,764.677,0.90135,2.97439,1.30151,0.43067,0.25742,0.24996,0.18411,1.08333,3.56479,1.31508,0.000126981,0.000126981,0.000126981
8,871.641,0.88866,2.79949,1.29796,0.4455,0.29287,0.27766,0.19461,1.0432,3.4153,1.27731,0.000125644,0.000125644,0.000125644
9,978.373,0.85515,2.59758,1.27494,0.50839,0.27469,0.29379,0.20712,1.05343,3.25591,1.27502,0.000124308,0.000124308,0.000124308
10,1086.01,0.85355,2.50099,1.26157,0.48974,0.35411,0.34748,0.25308,1.03307,2.92884,1.266,0.000122972,0.000122972,0.000122972
11,1192.86,0.85611,2.37651,1.25805,0.54251,0.3048,0.34593,0.25343,1.01943,2.87537,1.24214,0.000121635,0.000121635,0.000121635
12,1300.51,0.83001,2.30622,1.25212,0.56191,0.32266,0.36593,0.26572,1.02834,2.75223,1.27508,0.000120299,0.000120299,0.000120299
13,1407.83,0.82266,2.18961,1.24293,0.58654,0.36739,0.36728,0.27274,1.02012,2.55654,1.24616,0.000118962,0.000118962,0.000118962
14,1514.31,0.80937,2.1078,1.2326,0.60012,0.37764,0.41138,0.3026,0.99193,2.45003,1.23141,0.000117625,0.000117625,0.000117625
15,1621.42,0.80767,2.03922,1.23511,0.65372,0.35062,0.43339,0.32382,0.98113,2.28206,1.20355,0.000116289,0.000116289,0.000116289
16,1728.37,0.79776,1.91381,1.22501,0.62951,0.38123,0.48119,0.36648,0.98031,2.19091,1.21645,0.000114953,0.000114953,0.000114953
17,1833.96,0.77861,1.86739,1.21414,0.63331,0.40264,0.47747,0.36657,0.97158,2.1303,1.20426,0.000113616,0.000113616,0.000113616
18,1937.73,0.76549,1.78434,1.20435,0.64395,0.42107,0.52366,0.39862,0.97456,2.03752,1.19077,0.000112279,0.000112279,0.000112279
19,2041.85,0.7638,1.76486,1.2052,0.69487,0.40295,0.52763,0.40155,0.96766,1.95355,1.19548,0.000110943,0.000110943,0.000110943
20,2147.74,0.74195,1.6857,1.19022,0.67035,0.44416,0.5412,0.41785,0.94798,1.86941,1.17774,0.000109607,0.000109607,0.000109607
21,2252.91,0.75884,1.65097,1.19932,0.63343,0.49251,0.56034,0.43374,0.93882,1.80984,1.16473,0.00010827,0.00010827,0.00010827
22,2358.34,0.73591,1.61538,1.18829,0.65745,0.49788,0.55641,0.4259,0.95684,1.8286,1.16909,0.000106934,0.000106934,0.000106934
23,2465.09,0.74597,1.58302,1.18306,0.7253,0.46696,0.56846,0.43528,0.95048,1.73838,1.17819,0.000105597,0.000105597,0.000105597
24,2571.24,0.74373,1.55471,1.19199,0.70387,0.48115,0.58606,0.45272,0.93355,1.69552,1.16295,0.000104261,0.000104261,0.000104261
25,2677.04,0.71667,1.48506,1.16946,0.64944,0.52529,0.59497,0.46039,0.92551,1.66337,1.15675,0.000102924,0.000102924,0.000102924
26,2783.43,0.72319,1.51678,1.17423,0.72704,0.47473,0.58163,0.45243,0.94141,1.62466,1.17133,0.000101587,0.000101587,0.000101587
27,2888.75,0.72883,1.45543,1.17389,0.69592,0.52698,0.6237,0.48074,0.91003,1.54748,1.14588,0.000100251,0.000100251,0.000100251
28,2994.69,0.71006,1.40952,1.16389,0.70945,0.51784,0.62949,0.49037,0.92143,1.55462,1.15158,9.89145e-05,9.89145e-05,9.89145e-05
29,3101.57,0.70238,1.3808,1.1631,0.65159,0.54706,0.63016,0.48814,0.91742,1.49056,1.15323,9.7578e-05,9.7578e-05,9.7578e-05
30,3207.33,0.69504,1.3481,1.15323,0.66755,0.55677,0.62545,0.48421,0.90992,1.45403,1.14423,9.62415e-05,9.62415e-05,9.62415e-05
31,3313.79,0.69925,1.34752,1.15939,0.64805,0.58487,0.64574,0.49991,0.89975,1.47209,1.14603,9.4905e-05,9.4905e-05,9.4905e-05
32,3419.91,0.69002,1.30505,1.15356,0.70738,0.55455,0.64078,0.50284,0.88069,1.40754,1.13145,9.35685e-05,9.35685e-05,9.35685e-05
33,3526.68,0.6856,1.29131,1.14524,0.75796,0.54154,0.64229,0.50184,0.88461,1.38394,1.12982,9.2232e-05,9.2232e-05,9.2232e-05
34,3631.88,0.68936,1.27792,1.14545,0.66961,0.56732,0.63789,0.50041,0.88251,1.36214,1.11556,9.08955e-05,9.08955e-05,9.08955e-05
35,3735.8,0.68345,1.2603,1.14773,0.74276,0.5479,0.63672,0.51084,0.86539,1.35814,1.11212,8.9559e-05,8.9559e-05,8.9559e-05
36,3840.48,0.67232,1.21769,1.1434,0.69756,0.55962,0.65197,0.52112,0.87893,1.36346,1.11504,8.82225e-05,8.82225e-05,8.82225e-05
37,3947.58,0.67763,1.21022,1.14238,0.74009,0.5335,0.6572,0.51835,0.88769,1.34073,1.12427,8.6886e-05,8.6886e-05,8.6886e-05
38,4052.52,0.66639,1.19439,1.13302,0.75282,0.5666,0.68722,0.54284,0.86836,1.31611,1.09863,8.55495e-05,8.55495e-05,8.55495e-05
39,4156.9,0.67246,1.19622,1.13516,0.70945,0.55097,0.6651,0.52252,0.86955,1.33642,1.09662,8.4213e-05,8.4213e-05,8.4213e-05
40,4266.64,0.66434,1.15912,1.12992,0.7589,0.55725,0.67788,0.53265,0.87171,1.30551,1.10897,8.28765e-05,8.28765e-05,8.28765e-05
41,4375.23,0.66234,1.14644,1.13366,0.69046,0.62637,0.67811,0.53613,0.85431,1.25035,1.08472,8.154e-05,8.154e-05,8.154e-05
42,4485.24,0.64744,1.12925,1.11904,0.72764,0.59509,0.6888,0.54623,0.87029,1.23039,1.1015,8.02035e-05,8.02035e-05,8.02035e-05
43,4593.23,0.64599,1.09742,1.12142,0.72863,0.58899,0.7012,0.57065,0.84005,1.25072,1.08591,7.8867e-05,7.8867e-05,7.8867e-05
44,4701.11,0.65181,1.11825,1.12155,0.65119,0.65885,0.69438,0.55224,0.85066,1.23711,1.09018,7.75305e-05,7.75305e-05,7.75305e-05
45,4809.26,0.63405,1.08697,1.11056,0.6933,0.64212,0.69587,0.55525,0.85518,1.22826,1.09703,7.6194e-05,7.6194e-05,7.6194e-05
46,4913.17,0.62578,1.06983,1.10919,0.67107,0.63604,0.69232,0.54387,0.84216,1.21775,1.08501,7.48575e-05,7.48575e-05,7.48575e-05
47,5017.83,0.63115,1.06322,1.10884,0.70446,0.65029,0.70682,0.56541,0.83984,1.18114,1.08398,7.3521e-05,7.3521e-05,7.3521e-05
